Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\biogap_public\submodules\sensei-emg-shield\Hardware\EMG_shield_pcb\Project Outputs for EMG_shield\production_files\EMG_shield.txt

========================================================================================================================
File Design Information:

Date:       20.04.26
Time:       15:55
Revision:   b5c6f858773118c0f0ba1962b5b7046f4e8b66e7
Variant:    Bipolar_supply
Units used: mm

Designator     Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
TP_I2C_A_SDA_1 TP_I2C_A_SDA              TopLayer    TP_I2C_A_SDA                    7.0000       36.4750      90       ""                                                                                                                                           
TP_I2C_A_SCL_1 TP_I2C_A_SCL              TopLayer    TP_I2C_A_SCL                    7.0000       41.1000      90       ""                                                                                                                                           
TP_GPIO64_1    TP_GPIO64                 TopLayer    TP_GPIO64                       21.3106      16.0128      90       ""                                                                                                                                           
TP_GPIO63_1    TP_GPIO63                 TopLayer    TP_GPIO63                       21.7678      41.1000      90       ""                                                                                                                                           
TP_DVDD_1      TP_DVDD                   TopLayer    TP_DVDD                         6.9794       46.2500      90       ""                                                                                                                                           
TP_BIAS_1      TP_BIAS                   TopLayer    TP_BIAS                         21.7678      36.4750      90       ""                                                                                                                                           
TP_AVSS_1      TP_AVSS                   TopLayer    TP_AVSS                         7.4250       16.0128      90       ""                                                                                                                                           
TP_AVDD_1      TP_AVDD                   TopLayer    TP_AVDD                         21.7678      46.2500      90       ""                                                                                                                                           
TP_BIAS        TP_BIAS                   BottomLayer TP_BIAS                         10.6000      33.6379      180      ""                                                                                                                                           
J25            DF40C-40DP-0.4V(51)       TopLayer    FP-DF40C-40DP-0_4V_51-MFG       14.3000      33.6450      180      "50 Position 0.4mm Pitch Dual Row Vertical Surface Mount (SMT) Receptacle"                                                                   
I2C_A_SDA      0603_pad1_40              BottomLayer 0603_PAD_2_-_duplicate40        12.2134      19.7630      180      ""                                                                                                                                           
I2C_A_SCL      0603_pad1_39              BottomLayer 0603_PAD_2_-_duplicate39        12.2135      22.7250      180      ""                                                                                                                                           
DVDD           0603_pad1_38              BottomLayer 0603_PAD_2_-_duplicate38        12.2000      25.7750      0        ""                                                                                                                                           
AGND           0603_pad1_37              BottomLayer 0603_PAD_2_-_duplicate37        12.1500      28.7500      180      ""                                                                                                                                           
TP_I2C_A_SCL   TP_I2C_A_SCL              BottomLayer TP_I2C_A_SCL                    6.9794       36.4750      180      ""                                                                                                                                           
TP_AVSS        TP_AVSS                   BottomLayer TP_AVSS                         8.4328       16.8500      0        ""                                                                                                                                           
TP_GPIO64      TP_GPIO64                 BottomLayer TP_GPIO64                       21.7678      36.4750      90       ""                                                                                                                                           
TP_GPIO63      TP_GPIO63                 BottomLayer TP_GPIO63                       19.1638      33.6379      180      ""                                                                                                                                           
TP_I2C_A_SDA   TP_I2C_A_SDA              BottomLayer TP_I2C_A_SDA                    6.9794       31.0500      90       ""                                                                                                                                           
TP_DVDD        TP_DVDD                   BottomLayer TP_DVDD                         20.7450      16.8500      180      ""                                                                                                                                           
TP_AVDD        TP_AVDD                   BottomLayer TP_AVDD                         21.7678      31.0500      90       ""                                                                                                                                           
J_B4N          0603_pad1_28              BottomLayer 0603_PAD_2_-_duplicate28        16.9000      38.7500      180      ""                                                                                                                                           
Q1             PMSS3906                  BottomLayer SOT323_N                        16.0500      13.5500      0        "PNP Switching Transistor"                                                                                                                   
J_A8N          0603_pad1_16              TopLayer    0603_PAD_2_-_duplicate16        12.0799      59.7500      0        ""                                                                                                                                           
J_A7N          0603_pad1_14              TopLayer    0603_PAD_2_-_duplicate14        12.0799      53.7500      0        ""                                                                                                                                           
J24            DF40C-50DP-0.4V(51)       TopLayer    CONN_COMBI_50P                  14.5000      20.9250      90       "50 Position 0.4mm Pitch Dual Row Vertical Surface Mount (SMT) Receptacle,"                                                                  
R10            RC0402FR-070RL            TopLayer    FP-RC0402-0_4-IPC_C             7.7220       13.5664      0        "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                            
BIAS_4         0603_pad1_20              BottomLayer 0603_PAD_2_-_duplicate20        16.8870      19.7630      180      ""                                                                                                                                           
BIAS_3         0603_pad1_19              BottomLayer 0603_PAD_2_-_duplicate19        16.9201      22.7250      180      ""                                                                                                                                           
BIAS_2         0603_pad1_18              BottomLayer 0603_PAD_2_-_duplicate18        16.9071      25.7750      180      ""                                                                                                                                           
BIAS_1         0603_pad1_17              BottomLayer 0603_PAD_2_-_duplicate17        16.8870      28.7500      180      ""                                                                                                                                           
J_B8P          0603_pad1_35              BottomLayer 0603_PAD_2_-_duplicate35        12.2000      56.7500      180      ""                                                                                                                                           
J_B8N          0603_pad1_36              BottomLayer 0603_PAD_2_-_duplicate36        12.2000      59.7500      180      ""                                                                                                                                           
J_B7P          0603_pad1_33              BottomLayer 0603_PAD_2_-_duplicate33        12.2000      50.7500      180      ""                                                                                                                                           
J_B7N          0603_pad1_34              BottomLayer 0603_PAD_2_-_duplicate34        12.2000      53.7500      180      ""                                                                                                                                           
J_B6P          0603_pad1_31              BottomLayer 0603_PAD_2_-_duplicate31        12.2000      44.7500      180      ""                                                                                                                                           
J_B6N          0603_pad1_32              BottomLayer 0603_PAD_2_-_duplicate32        12.2000      47.7500      180      ""                                                                                                                                           
J_B5P          0603_pad1_29              BottomLayer 0603_PAD_2_-_duplicate29        12.2000      38.7500      180      ""                                                                                                                                           
J_B5N          0603_pad1_30              BottomLayer 0603_PAD_2_-_duplicate30        12.2000      41.7500      180      ""                                                                                                                                           
